kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,koi_period_normalized,koi_duration_normalized,koi_depth_normalized,koi_impact_normalized,koi_prad_normalized,koi_teq_normalized,koi_insol_normalized,koi_steff_normalized,koi_srad_normalized,prediccion,probabilidad_exoplaneta,confianza,etiqueta_prediccion,nivel_confianza
6526710,K00856.01,,CANDIDATE,CANDIDATE,0.994,0,0,0,0,39.74893077,1.554e-05,-1.554e-05,172.854644,0.000301,-0.000301,0.881,0.003,-0.003,7.3051,0.0213,-0.0213,15179.0,44.1,-44.1,14.21,4.46,-1.49,552.0,,,21.87,20.59,-6.71,561.1,1,q1_q17_dr25_tce,6122.0,181.0,-218.0,4.487,0.052,-0.208,0.964,0.303,-0.101,293.17929,41.969238,15.344,0.10143998672835332,0.9068552138110444,0.32565504581736493,0.8058137956630979,0.8257585808568405,-0.4705056268352402,-0.6442645203173202,0.7887951234813554,0.3817269336900094,0,0.10325599623875485,0.8067440037612451,FALSO POSITIVO,ALTA
6599919,K00858.01,,CANDIDATE,CANDIDATE,0.0,0,0,0,0,13.61014819,5.969e-06,-5.969e-06,173.987319,0.000346,-0.000346,1.081,0.347,-0.119,2.594,0.0194,-0.0194,5732.9,38.1,-38.1,19.02,4.92,-2.28,733.0,,,68.29,52.16,-20.86,184.1,1,q1_q17_dr25_tce,5697.0,154.0,-154.0,4.46,0.098,-0.182,0.903,0.234,-0.108,289.89777,42.009151,15.06,-0.5795691389045133,-0.6348947820065212,-0.36141182074032363,1.3654067093180269,1.5449797259761529,0.16305805666515782,-0.31593151475708453,0.2577952383500309,0.12082673251252404,0,0.09715546713822576,0.7083821672703765,FALSO POSITIVO,MEDIA
6862328,K00865.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,119.0207044,0.0001179,-0.0001179,222.236492,0.000704,-0.000704,0.076,0.173,-0.076,8.1405,0.0382,-0.0382,7430.5,38.4,-38.4,8.98,1.23,-1.35,366.0,,,4.25,1.58,-1.34,223.5,1,q1_q17_dr25_tce,5453.0,81.0,-73.0,4.342,0.144,-0.108,1.062,0.146,-0.16,291.58377,42.36816,15.085,2.1667542790794867,1.180247403852859,-0.23793602515607906,-1.4465476817979916,0.04373642098698502,-1.1215710695483565,-0.7688924297953761,-0.047061166290070705,0.8008780765653144,0,0.17173883492509837,0.7245627478900515,FALSO POSITIVO,MEDIA
7031517,K00871.01,,CANDIDATE,CANDIDATE,0.0,0,0,0,0,12.940668656,3.352e-06,-3.352e-06,179.423014,0.000206,-0.000206,0.897,0.16,-0.072,2.4845,0.0165,-0.0165,42450.0,198.0,-198.0,22.94,4.93,-1.96,723.0,,,64.64,40.22,-16.72,307.5,1,q1_q17_dr25_tce,5875.0,140.0,-175.0,4.572,0.036,-0.144,0.809,0.174,-0.069,291.11969,42.507069,15.215,-0.5970114842273322,-0.6707296453170055,2.309225039560256,0.8505812287554922,2.131122530314553,0.12805453823972146,-0.34174830644805526,0.48019048435797385,-0.2812162004495028,0,0.09715546713822576,0.7083821672703765,FALSO POSITIVO,MEDIA
7380537,K00883.01,,CANDIDATE,CANDIDATE,0.997,0,0,0,0,2.688899233,1.9e-07,-1.9e-07,170.1020904,5.61e-05,-5.61e-05,0.001,0.061,-0.001,2.11275,0.00254,-0.00254,37492.0,44.0,-44.0,12.04,1.36,-0.79,929.0,,,175.76,66.28,-39.88,1011.6,1,q1_q17_dr25_tce,4820.0,130.0,-144.0,4.667,0.027,-0.063,0.639,0.072,-0.042,296.68307,42.967869,15.766,-0.8641068820171625,-0.7923881881085362,1.9486023990638586,-1.6563950244185899,0.5012866713123687,0.8491270178037105,0.44421385593568835,-0.8379386422621375,-1.008315121763807,0,0.181368464554728,0.7299331182604218,FALSO POSITIVO,MEDIA
8013419,K00901.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,12.732624065,4.397e-06,-4.397e-06,176.939054,0.000273,-0.000273,0.811,0.02,-0.033,2.2083,0.0432,-0.0432,6465.7,41.0,-41.0,4.87,0.97,-0.96,432.0,,,8.22,11.81,-4.37,210.5,1,q1_q17_dr25_tce,3950.0,560.0,-301.0,4.721,0.104,-0.085,0.541,0.107,-0.107,285.16748,43.876339,15.75,-0.6024317927124704,-0.7611185882060998,-0.3081112416851078,0.6099562758838729,-0.5708163662147561,-0.8905478479404765,-0.7408122481479367,-1.9249266424133196,-1.4274662646391116,0,0.11325599623875485,0.7967440037612451,FALSO POSITIVO,MEDIA
8018547,K00902.01,,CANDIDATE,CANDIDATE,0.966,0,0,0,0,83.92494032,7.999e-05,-7.999e-05,236.76334,0.000718,-0.000718,0.658,0.031,-0.052,6.7904,0.0748,-0.0748,7958.7,54.8,-54.8,4.78,0.34,-0.47,226.0,,,0.62,0.18,-0.18,182.1,1,q1_q17_dr25_tce,3960.0,118.0,-130.0,4.746,0.045,-0.04,0.509,0.036,-0.05,287.85239,43.897991,15.754,1.2523836293987485,0.738414993300484,-0.19951713070061375,0.1818676969378521,-0.5842737265184438,-1.6116203275044654,-0.7945677596140674,-1.912432527469053,-1.5643319439453336,0,0.10325599623875485,0.7867440037612451,FALSO POSITIVO,MEDIA
8552202,K00914.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,3.886655224,7.822e-06,-7.822e-06,169.73814,0.00155,-0.00155,0.649,0.053,-0.476,3.1646,0.0604,-0.0604,581.6,13.9,-13.9,1.87,0.36,-0.15,1010.0,,,246.29,141.54,-59.99,48.1,1,q1_q17_dr25_tce,5662.0,153.0,-153.0,4.61,0.032,-0.12,0.738,0.14,-0.06,288.72665,44.60751,15.371,-0.8329010384528737,-0.448160781961202,-0.7360942346146866,0.15668601582338026,-1.0193950430043481,1.132655517049745,0.9430791485286101,0.2140658360450983,-0.584886926410183,0,0.11288562586838449,0.7771143741316154,FALSO POSITIVO,MEDIA
9140402,K00928.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,2.494170338,1.264e-06,-1.264e-06,170.852848,0.000426,-0.000426,0.095,0.239,-0.095,1.1221,0.0175,-0.0175,863.7,13.9,-13.9,2.42,0.24,-0.12,1194.0,,,480.19,142.04,-79.6,69.2,1,q1_q17_dr25_tce,5569.0,99.0,-110.0,4.566,0.02,-0.08,0.829,0.082,-0.041,284.75943,45.599129,15.251,-0.8691802688175437,-1.1165873418850791,-0.7155755482726064,-1.3933863550007732,-0.9371556189262562,1.776720256077774,2.597475744834924,0.09787056706342022,-0.19567515088311446,0,0.181368464554728,0.7249331182604218,FALSO POSITIVO,MEDIA
8951215,K00924.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,39.4759093,0.0001317,-0.0001317,173.31207,0.0025,-0.0025,0.938,0.011,-0.647,2.968,0.146,-0.146,1012.6,42.8,-42.8,4.06,1.31,-0.44,577.0,,,26.13,24.8,-8.31,26.6,1,q1_q17_dr25_tce,6225.0,172.0,-237.0,4.45,0.054,-0.216,1.031,0.332,-0.111,291.20804,45.244389,15.229,0.09432679727530029,-0.5124999064072409,-0.7047452313766981,0.9652977760547525,-0.691932608947946,-0.38299683077164937,-0.6141331415218312,0.9174845074072999,0.6682894497374113,0,0.10288562586838448,0.8071143741316155,FALSO POSITIVO,ALTA
